N, t_r, t_nr
100,0.2264,0.4312
5100,8.7798,21.6698
10100,19.3662,48.9977
15100,33.1216,61.0991
20100,32.5505,75.7163
25100,41.6766,97.3317
30100,50.6424,113.153
35100,57.7998,137.024
40100,75.1123,152.21
45100,83.9573,171.081
50100,88.7247,184.244
55100,88.1821,205.72
60100,107.485,233.846
65100,104.919,260.289
70100,111.727,275.156
75100,124.738,283.271
80100,137.845,299.181
85100,144.491,351.394
90100,144.678,343.026
95100,155.574,353.325
100100,168.384,402.302
105100,207.598,421.666
110100,176.457,417.613
115100,190.466,446.965
120100,216.232,445.522
125100,199.945,486.594
130100,217.63,487.966
135100,212.809,506.454
140100,225.645,518.266
145100,230.294,534.078
150100,250.588,554.239
155100,267.126,645.48
160100,267.669,601.48
165100,268.024,620.748
170100,279.926,649.829
175100,310.965,681.961
180100,281.698,661.5
185100,297.906,684.836
190100,302.352,741.158
195100,345.265,832.52
200100,375.691,751.245
205100,335.317,797.677
210100,352.617,779.254
215100,347.397,823.872
220100,355.184,862.646
225100,414.605,886.945
230100,374.798,867.743
235100,392.371,901.764
240100,402.658,902.255
245100,388.283,924.767
250100,464.688,936.955
255100,434.812,933.071
260100,430.573,971.489
265100,433.076,1005.04
270100,462.823,1053.11
275100,426.793,1000.02
280100,451.05,1038.2
285100,459.204,1037.42
290100,449.026,1048.18
295100,560.148,1233.38
300100,553.843,1198.46
305100,519.264,1137.52
310100,503.768,1170.22
315100,539.899,1159.1
320100,482.741,1320.37
325100,574.661,1192.9
330100,533.627,1220.39
335100,591.674,1254.93
340100,574.358,1325.24
345100,603.669,1299.62
350100,559.786,1280.62
355100,573.57,1415.94
360100,577.746,1345.58
365100,621.902,1357.28
370100,589.568,1362.13
375100,624.698,1516.89
380100,679.008,1487.97
385100,631.404,1449.55
390100,707,1455.52
395100,633.351,1614.68
400100,646.056,1506.27
405100,666.365,1585.59
410100,685.692,1623.54
415100,686.757,1593.41
420100,693.373,1588.59
425100,705.873,1677.32
430100,699.072,1655.21
435100,710.468,1648.77
440100,779.568,1872.57
445100,739.705,1773.39
450100,770.676,1656.33
455100,737.413,1719.98
460100,775.716,1754.61
465100,736.528,1801.06
470100,760.407,1718.51
475100,747.663,1807.77
480100,716.668,1705.9
485100,775.006,1786.3
490100,784.614,2026.98
495100,775.36,1818.67
