N,A,B
100,0.1925,0.3836
5100,7.3367,23.5129
10100,17.1231,44.0887
15100,24.4858,52.9869
20100,30.8477,70.4623
25100,36.6726,84.8273
30100,47.9448,112.789
35100,58.0936,128.262
40100,57.7807,146.688
45100,78.6912,163.392
50100,80.2923,180.124
55100,100.658,203.992
60100,92.9377,238.715
65100,103.621,248.814
70100,115.527,259.736
75100,131.094,284.331
80100,132.338,288.276
85100,122.044,309.573
90100,157.943,329.163
95100,138.763,356.162
100100,158.264,357.781
105100,165.547,394.543
110100,171.439,391.676
115100,174.753,412
120100,194.344,461.396
125100,197.896,435.089
130100,186.781,439.187
135100,218.651,448.661
140100,201.15,464.548
145100,209.39,501.196
150100,290.356,615.092
155100,277.822,635.282
160100,301.561,657.155
165100,296.183,666.554
170100,295.563,676.839
175100,300.438,695.927
180100,325.312,717.369
185100,333.549,749.674
190100,346.907,771.842
195100,351.126,786.586
200100,357.65,793.49
205100,352.242,834.459
210100,376.138,844.562
215100,384.941,879.03
220100,390.763,981.312
225100,409.594,1043.43
230100,488.081,1063.52
235100,473.566,1213.48
240100,580.345,1140.19
245100,497.731,1191.79
250100,537.917,1113.73
255100,493.693,1064.09
